animal,simulation,beta,trialn,phase,phase_coded,paired_unpaired,acquisition_duration,devaluation_context,press_lever,consume_pellet,post_final_c1,post_final_c2,post_final_c3,post_final_c4,post_final_c5,post_final_c6,post_final_c7,post_final_c8,post_final_c9,post_final_c10
1,1,5.224055944,1,acquisition,1,unpaired,normal,homecage,0,NaN,1,0,0,0,0,0,0,0,0,0
1,1,5.224055944,2,acquisition,1,unpaired,normal,homecage,0,NaN,0.999999994,6.06E-09,0,0,0,0,0,0,0,0
1,1,5.224055944,3,acquisition,1,unpaired,normal,homecage,1,1,0.999999998,1.95E-09,0,0,0,0,0,0,0,0
1,1,5.224055944,4,acquisition,1,unpaired,normal,homecage,0,NaN,1,3.31E-10,0,0,0,0,0,0,0,0
1,1,5.224055944,5,acquisition,1,unpaired,normal,homecage,0,NaN,1,1.46E-10,0,0,0,0,0,0,0,0
1,1,5.224055944,6,acquisition,1,unpaired,normal,homecage,0,NaN,1,8.03E-11,0,0,0,0,0,0,0,0
1,1,5.224055944,7,acquisition,1,unpaired,normal,homecage,1,1,1,5.64E-11,0,0,0,0,0,0,0,0
1,1,5.224055944,8,acquisition,1,unpaired,normal,homecage,0,NaN,1,3.74E-11,0,0,0,0,0,0,0,0
1,1,5.224055944,9,acquisition,1,unpaired,normal,homecage,0,NaN,1,2.72E-11,0,0,0,0,0,0,0,0
1,1,5.224055944,10,acquisition,1,unpaired,normal,homecage,0,NaN,1,2.08E-11,0,0,0,0,0,0,0,0
1,1,5.224055944,11,acquisition,1,unpaired,normal,homecage,1,1,1,1.26E-11,0,0,0,0,0,0,0,0
1,1,5.224055944,12,acquisition,1,unpaired,normal,homecage,0,NaN,1,1.41E-11,0,0,0,0,0,0,0,0
1,1,5.224055944,13,acquisition,1,unpaired,normal,homecage,1,1,1,6.59E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,14,acquisition,1,unpaired,normal,homecage,0,NaN,1,1.03E-11,0,0,0,0,0,0,0,0
1,1,5.224055944,15,acquisition,1,unpaired,normal,homecage,0,NaN,1,8.86E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,16,acquisition,1,unpaired,normal,homecage,0,NaN,1,7.74E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,17,acquisition,1,unpaired,normal,homecage,0,NaN,1,6.85E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,18,acquisition,1,unpaired,normal,homecage,0,NaN,1,6.12E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,19,acquisition,1,unpaired,normal,homecage,1,1,1,2.76E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,20,acquisition,1,unpaired,normal,homecage,0,NaN,1,5.10E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,21,acquisition,1,unpaired,normal,homecage,0,NaN,1,4.66E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,22,acquisition,1,unpaired,normal,homecage,1,1,1,1.86E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,23,acquisition,1,unpaired,normal,homecage,1,1,1,1.52E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,24,acquisition,1,unpaired,normal,homecage,1,1,1,1.28E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,25,acquisition,1,unpaired,normal,homecage,1,1,1,1.11E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,26,acquisition,1,unpaired,normal,homecage,1,1,1,9.74E-13,0,0,0,0,0,0,0,0
1,1,5.224055944,27,acquisition,1,unpaired,normal,homecage,1,1,1,8.68E-13,0,0,0,0,0,0,0,0
1,1,5.224055944,28,acquisition,1,unpaired,normal,homecage,1,1,1,7.82E-13,0,0,0,0,0,0,0,0
1,1,5.224055944,29,acquisition,1,unpaired,normal,homecage,0,NaN,1,2.88E-12,0,0,0,0,0,0,0,0
1,1,5.224055944,30,acquisition,1,unpaired,normal,homecage,1,1,1,6.79E-13,0,0,0,0,0,0,0,0
1,1,5.224055944,31,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,0.929457063,0.070542937,0,0,0,0,0,0,0,0
1,1,5.224055944,32,devaluation_pellet,2,unpaired,normal,homecage,NaN,0,0.930415509,0.06958449,6.92E-10,0,0,0,0,0,0,0
1,1,5.224055944,33,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,1.50E-08,0.999999984,1.14E-09,0,0,0,0,0,0,0
1,1,5.224055944,34,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,4.36E-09,0.999999995,3.31E-10,0,0,0,0,0,0,0
1,1,5.224055944,35,devaluation_pellet,2,unpaired,normal,homecage,NaN,0,6.76E-10,0.999999999,2.27E-10,0,0,0,0,0,0,0
1,1,5.224055944,36,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,1.19E-09,0.999999999,9.03E-11,0,0,0,0,0,0,0
1,1,5.224055944,37,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,7.28E-10,0.999999999,5.53E-11,0,0,0,0,0,0,0
1,1,5.224055944,38,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,4.93E-10,0.999999999,3.74E-11,0,0,0,0,0,0,0
1,1,5.224055944,39,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,3.59E-10,1,2.72E-11,0,0,0,0,0,0,0
1,1,5.224055944,40,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,2.74E-10,1,2.08E-11,0,0,0,0,0,0,0
1,1,5.224055944,41,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,2.18E-10,1,1.66E-11,0,0,0,0,0,0,0
1,1,5.224055944,42,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,1.79E-10,1,1.36E-11,0,0,0,0,0,0,0
1,1,5.224055944,43,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,1.50E-10,1,1.14E-11,0,0,0,0,0,0,0
1,1,5.224055944,44,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,1.28E-10,1,9.71E-12,0,0,0,0,0,0,0
1,1,5.224055944,45,devaluation_pellet,2,unpaired,normal,homecage,NaN,1,1.11E-10,1,8.43E-12,0,0,0,0,0,0,0
1,1,5.224055944,46,devaluation_injection,3,unpaired,normal,homecage,NaN,1,1.56E-09,0.999999998,5.25E-10,0,0,0,0,0,0,0
1,1,5.224055944,47,devaluation_injection,3,unpaired,normal,homecage,NaN,1,4.39E-10,0.999999999,1.47E-10,0,0,0,0,0,0,0
1,1,5.224055944,48,devaluation_injection,3,unpaired,normal,homecage,NaN,1,2.15E-10,1,7.22E-11,0,0,0,0,0,0,0
1,1,5.224055944,49,devaluation_injection,3,unpaired,normal,homecage,NaN,1,1.32E-10,1,4.43E-11,0,0,0,0,0,0,0
1,1,5.224055944,50,devaluation_injection,3,unpaired,normal,homecage,NaN,1,9.12E-11,1,3.06E-11,0,0,0,0,0,0,0
1,1,5.224055944,51,devaluation_injection,3,unpaired,normal,homecage,NaN,1,6.79E-11,1,2.28E-11,0,0,0,0,0,0,0
1,1,5.224055944,52,devaluation_injection,3,unpaired,normal,homecage,NaN,1,5.32E-11,1,1.78E-11,0,0,0,0,0,0,0
